"Country","Mortality Rate","Region"
"SOMALIA",81.5,"AFRICA"
"CENTRAL AFRICAN REPUBLIC",79.3,"AFRICA"
"EQUATORIAL GUINEA",76.9,"AFRICA"
"SIERRA LEONE",70.1,"AFRICA"
"NIGERIA",65.6,"AFRICA"
"NIGER",63,"AFRICA"
"CHAD",61.1,"AFRICA"
"SOUTH SUDAN",58.6,"AFRICA"
"MOZAMBIQUE",56.7,"AFRICA"
"MALI",55.8,"AFRICA"
"CONGO DEMOCRATIC REPUBLIC OF THE",55.8,"AFRICA"
"LIBERIA",55.2,"AFRICA"
"COMOROS",53.9,"AFRICA"
"COTE D'IVOIRE",52.3,"AFRICA"
"LESOTHO",52.2,"AFRICA"
"BENIN",51.6,"AFRICA"
"PAKISTAN",50.3,"SOUTH ASIA"
"BURKINA FASO",48,"AFRICA"
"ANGOLA",46.1,"AFRICA"
"GUINEA",45.8,"AFRICA"
"GUINEA BISSAU",45.1,"AFRICA"
"CAMEROON",44.6,"AFRICA"
"DJIBOUTI",44.3,"AFRICA"
"YEMEN",42.4,"MIDDLE EAST"
"AFGHANISTAN",42,"SOUTH ASIA"
"TIMOR LESTE",41.9,"EAST AND SOUTHEAST ASIA"
"SAO TOME AND PRINCIPE",41.7,"AFRICA"
"SUDAN",39.7,"AFRICA"
"ERITREA",39,"AFRICA"
"MADAGASCAR",38.4,"AFRICA"
"ESWATINI",38,"AFRICA"
"BURUNDI",35.3,"AFRICA"
"HAITI",35,"CENTRAL AMERICA AND THE CARIBBEAN"
"GAMBIA THE",35,"AFRICA"
"TURKMENISTAN",35,"CENTRAL ASIA"
"TOGO",34.5,"AFRICA"
"LAOS",34.2,"EAST AND SOUTHEAST ASIA"
"ZIMBABWE",32.8,"AFRICA"
"PAPUA NEW GUINEA",31.3,"EAST AND SOUTHEAST ASIA"
"ETHIOPIA",31.3,"AFRICA"
"KIRIBATI",30.8,"AUSTRALIA AND OCEANIA"
"BURMA",30.8,"EAST AND SOUTHEAST ASIA"
"GHANA",30.5,"AFRICA"
"INDIA",30.5,"SOUTH ASIA"
"SENEGAL",30.4,"AFRICA"
"ZAMBIA",30.1,"AFRICA"
"MAURITANIA",29.9,"AFRICA"
"CONGO REPUBLIC OF THE",29.9,"AFRICA"
"SURINAME",29.3,"SOUTH AMERICA"
"MALAWI",28.9,"AFRICA"
"TANZANIA",28.4,"AFRICA"
"BOTSWANA",27.8,"AFRICA"
"UGANDA",27.5,"AFRICA"
"RWANDA",27.4,"AFRICA"
"CAMBODIA",27.2,"EAST AND SOUTHEAST ASIA"
"TUVALU",27.2,"AUSTRALIA AND OCEANIA"
"NAMIBIA",27.1,"AFRICA"
"KENYA",26.8,"AFRICA"
"GABON",26,"AFRICA"
"KYRGYZSTAN",24,"CENTRAL ASIA"
"MALDIVES",23.7,"SOUTH ASIA"
"GUATEMALA",23.4,"CENTRAL AMERICA AND THE CARIBBEAN"
"NEPAL",23.4,"SOUTH ASIA"
"BHUTAN",23,"SOUTH ASIA"
"BOLIVIA",22.1,"SOUTH AMERICA"
"BANGLADESH",22,"SOUTH ASIA"
"CABO VERDE",21.9,"AFRICA"
"PARAGUAY",21.4,"SOUTH AMERICA"
"KOSOVO",21,"EUROPE"
"GEORGIA",20.9,"CENTRAL ASIA"
"DOMINICAN REPUBLIC",20.8,"CENTRAL AMERICA AND THE CARIBBEAN"
"GUYANA",20.6,"SOUTH AMERICA"
"MICRONESIA FEDERATED STATES OF",20.4,"AUSTRALIA AND OCEANIA"
"TAJIKISTAN",20.3,"CENTRAL ASIA"
"MARSHALL ISLANDS",20.1,"AUSTRALIA AND OCEANIA"
"SOUTH AFRICA",19.7,"AFRICA"
"SOLOMON ISLANDS",18.6,"AUSTRALIA AND OCEANIA"
"ALGERIA",18.6,"AFRICA"
