"Country","Life Expectancy","Region"
"MONACO",89.8,"EUROPE"
"SINGAPORE",86.7,"EAST AND SOUTHEAST ASIA"
"MACAU",85.3,"EAST AND SOUTHEAST ASIA"
"JAPAN",85.2,"EAST AND SOUTHEAST ASIA"
"CANADA",84.2,"NORTH AMERICA"
"SAN MARINO",84.2,"EUROPE"
"HONG KONG",84,"EAST AND SOUTHEAST ASIA"
"ICELAND",84,"EUROPE"
"SWITZERLAND",83.9,"EUROPE"
"ANDORRA",83.8,"EUROPE"
"GUERNSEY",83.6,"EUROPE"
"MALTA",83.6,"EUROPE"
"AUSTRALIA",83.5,"AUSTRALIA AND OCEANIA"
"LUXEMBOURG",83.4,"EUROPE"
"KOREA SOUTH",83.4,"EAST AND SOUTHEAST ASIA"
"ISRAEL",83.1,"MIDDLE EAST"
"JERSEY",83,"EUROPE"
"SPAIN",83,"EUROPE"
"ITALY",83,"EUROPE"
"LIECHTENSTEIN",83,"EUROPE"
"SWEDEN",82.9,"EUROPE"
"NORWAY",82.9,"EUROPE"
"NEW ZEALAND",82.9,"AUSTRALIA AND OCEANIA"
"AUSTRIA",82.7,"EUROPE"
"FRANCE",82.6,"EUROPE"
"ANGUILLA",82.6,"CENTRAL AMERICA AND THE CARIBBEAN"
"CAYMAN ISLANDS",82.5,"CENTRAL AMERICA AND THE CARIBBEAN"
"ISLE OF MAN",82.5,"EUROPE"
"BERMUDA",82.5,"NORTH AMERICA"
"BELGIUM",82.3,"EUROPE"
"FINLAND",82.2,"EUROPE"
"SLOVENIA",82.2,"EUROPE"
"UNITED KINGDOM",82.2,"EUROPE"
"PUERTO RICO",82.1,"CENTRAL AMERICA AND THE CARIBBEAN"
"DENMARK",82.1,"EUROPE"
"IRELAND",82,"EUROPE"
"PORTUGAL",81.9,"EUROPE"
"GERMANY",81.9,"EUROPE"
"NETHERLANDS",81.9,"EUROPE"
"GREECE",81.9,"EUROPE"
"SAINT PIERRE AND MIQUELON",81.8,"NORTH AMERICA"
"FAROE ISLANDS",81.7,"EUROPE"
"TAIWAN",81.6,"EAST AND SOUTHEAST ASIA"
"TURKS AND CAICOS ISLANDS",81.3,"CENTRAL AMERICA AND THE CARIBBEAN"
"WALLIS AND FUTUNA",81.1,"AUSTRALIA AND OCEANIA"
"SAINT MARTIN",81,"CENTRAL AMERICA AND THE CARIBBEAN"
"SAINT BARTHELEMY",81,"CENTRAL AMERICA AND THE CARIBBEAN"
"GIBRALTAR",80.9,"EUROPE"
"UNITED STATES",80.9,"NORTH AMERICA"
"SAINT HELENA ASCENSION AND TRISTAN DA CUNHA",80.9,"AFRICA"
"VIRGIN ISLANDS",80.7,"CENTRAL AMERICA AND THE CARIBBEAN"
"BAHRAIN",80.4,"MIDDLE EAST"
"QATAR",80.3,"MIDDLE EAST"
"COSTA RICA",80.3,"CENTRAL AMERICA AND THE CARIBBEAN"
"CHILE",80.3,"SOUTH AMERICA"
"CYPRUS",80.2,"EUROPE"
"BRITISH VIRGIN ISLANDS",80.1,"CENTRAL AMERICA AND THE CARIBBEAN"
"CUBA",80.1,"CENTRAL AMERICA AND THE CARIBBEAN"
"CURACAO",79.9,"CENTRAL AMERICA AND THE CARIBBEAN"
"UNITED ARAB EMIRATES",79.9,"MIDDLE EAST"
"ALBANIA",79.9,"EUROPE"
"SINT MAARTEN",79.7,"CENTRAL AMERICA AND THE CARIBBEAN"
"KUWAIT",79.6,"MIDDLE EAST"
"SAINT LUCIA",79.4,"CENTRAL AMERICA AND THE CARIBBEAN"
"NEW CALEDONIA",79.3,"AUSTRALIA AND OCEANIA"
"PANAMA",79.2,"CENTRAL AMERICA AND THE CARIBBEAN"
"LEBANON",79.2,"MIDDLE EAST"
"BARBADOS",79,"CENTRAL AMERICA AND THE CARIBBEAN"
"FRENCH POLYNESIA",78.9,"AUSTRALIA AND OCEANIA"
"URUGUAY",78.9,"SOUTH AMERICA"
"BRUNEI",78.9,"EAST AND SOUTHEAST ASIA"
"ARGENTINA",78.8,"SOUTH AMERICA"
"PARAGUAY",78.8,"SOUTH AMERICA"
"DOMINICA",78.7,"CENTRAL AMERICA AND THE CARIBBEAN"
"CHINA",78.7,"EAST AND SOUTHEAST ASIA"
"CZECHIA",78.6,"EUROPE"
"BOSNIA AND HERZEGOVINA",78.5,"EUROPE"
"ARUBA",78.5,"CENTRAL AMERICA AND THE CARIBBEAN"
"ESTONIA",78.4,"EUROPE"
"ANTIGUA AND BARBUDA",78.3,"CENTRAL AMERICA AND THE CARIBBEAN"
"THAILAND",78.2,"EAST AND SOUTHEAST ASIA"
"MONTENEGRO",78.2,"EUROPE"
"GUAM",78,"AUSTRALIA AND OCEANIA"
"TONGA",78,"AUSTRALIA AND OCEANIA"
"ALGERIA",77.9,"AFRICA"
"CROATIA",77.7,"EUROPE"
"LIBYA",77.7,"AFRICA"
"COOK ISLANDS",77.6,"AUSTRALIA AND OCEANIA"
"SAINT KITTS AND NEVIS",77.6,"CENTRAL AMERICA AND THE CARIBBEAN"
"MALDIVES",77.4,"SOUTH ASIA"
"OMAN",77.4,"MIDDLE EAST"
"NORTH MACEDONIA",77.3,"EUROPE"
"TUNISIA",77.3,"AFRICA"
"SLOVAKIA",77.2,"EUROPE"
"SOLOMON ISLANDS",77.2,"AUSTRALIA AND OCEANIA"
"SAINT VINCENT AND THE GRENADINES",77.2,"CENTRAL AMERICA AND THE CARIBBEAN"
"SAUDI ARABIA",77.2,"MIDDLE EAST"
"NORTHERN MARIANA ISLANDS",77.1,"AUSTRALIA AND OCEANIA"
"ROMANIA",76.9,"EUROPE"
"SRI LANKA",76.8,"SOUTH ASIA"
"POLAND",76.7,"EUROPE"
"ARMENIA",76.7,"CENTRAL ASIA"
"TURKEY",76.7,"MIDDLE EAST"
"BAHAMAS THE",76.7,"CENTRAL AMERICA AND THE CARIBBEAN"
"SEYCHELLES",76.6,"AFRICA"
"MALAYSIA",76.6,"EAST AND SOUTHEAST ASIA"
