"Country","Mortality Rate","Region"
"NIGERIA",993,"AFRICA"
"CHAD",748,"AFRICA"
"SOUTH SUDAN",692,"AFRICA"
"CENTRAL AFRICAN REPUBLIC",692,"AFRICA"
"LIBERIA",628,"AFRICA"
"SOMALIA",563,"AFRICA"
"AFGHANISTAN",521,"SOUTH ASIA"
"BENIN",518,"AFRICA"
"GUINEA BISSAU",505,"AFRICA"
"GUINEA",494,"AFRICA"
"LESOTHO",478,"AFRICA"
"MADAGASCAR",445,"AFRICA"
"CONGO DEMOCRATIC REPUBLIC OF THE",427,"AFRICA"
"BURUNDI",392,"AFRICA"
"MAURITANIA",381,"AFRICA"
"KENYA",379,"AFRICA"
"MALI",367,"AFRICA"
"COTE D'IVOIRE",359,"AFRICA"
"ZIMBABWE",358,"AFRICA"
"GAMBIA THE",354,"AFRICA"
"SIERRA LEONE",354,"AFRICA"
"NIGER",350,"AFRICA"
"TOGO",349,"AFRICA"
"HAITI",328,"CENTRAL AMERICA AND THE CARIBBEAN"
"ERITREA",291,"AFRICA"
"TANZANIA",276,"AFRICA"
"NAURU",273,"AUSTRALIA AND OCEANIA"
"CAMEROON",258,"AFRICA"
"SUDAN",256,"AFRICA"
"BURKINA FASO",242,"AFRICA"
"CONGO REPUBLIC OF THE",241,"AFRICA"
"SENEGAL",237,"AFRICA"
"GHANA",234,"AFRICA"
"GABON",233,"AFRICA"
"RWANDA",229,"AFRICA"
"VENEZUELA",227,"SOUTH AMERICA"
"MALAWI",225,"AFRICA"
"ETHIOPIA",195,"AFRICA"
"TIMOR LESTE",192,"EAST AND SOUTHEAST ASIA"
"PAPUA NEW GUINEA",189,"EAST AND SOUTHEAST ASIA"
"BURMA",185,"EAST AND SOUTHEAST ASIA"
"ANGOLA",183,"AFRICA"
"COMOROS",179,"AFRICA"
"EQUATORIAL GUINEA",174,"AFRICA"
"UGANDA",170,"AFRICA"
"TUVALU",170,"AUSTRALIA AND OCEANIA"
"DJIBOUTI",162,"AFRICA"
"PAKISTAN",155,"SOUTH ASIA"
"MARSHALL ISLANDS",155,"AUSTRALIA AND OCEANIA"
"BOTSWANA",155,"AFRICA"
"BOLIVIA",146,"SOUTH AMERICA"
"NEPAL",142,"SOUTH ASIA"
"INDONESIA",140,"EAST AND SOUTHEAST ASIA"
"NAMIBIA",139,"AFRICA"
"CAMBODIA",137,"EAST AND SOUTHEAST ASIA"
"JAMAICA",130,"CENTRAL AMERICA AND THE CARIBBEAN"
"MICRONESIA FEDERATED STATES OF",129,"AUSTRALIA AND OCEANIA"
"DOMINICAN REPUBLIC",124,"CENTRAL AMERICA AND THE CARIBBEAN"
"SOLOMON ISLANDS",123,"AUSTRALIA AND OCEANIA"
"SOUTH AFRICA",118,"AFRICA"
"ESWATINI",118,"AFRICA"
"YEMEN",118,"MIDDLE EAST"
